Index	Name
0	BLANK (Unusable)
1	RESERVE
2	Dark Undershirt
3	Print T-Shirt
4	Neckerchief
5	Baseball Jacket
6	Dress Shirt
7	Turtleneck
8	Pink Top
9	Loose Cutsew
10	Formal Shirt
11	Light Undershirt
12	Chaos Undershirt
13	RESERVE
14	Sooty Ghastly Gear
15	RESERVE
16	Shoulder Pads
17	Confident Camisole
18	Lynx Camo Vest
19	Memorial Collar
20	Old Cat Collar
21	Cat Knight's Collar
22	Old Duke's Coat
23	Duke's Coat
24	RESERVE
25	RESERVE
26	RESERVE
27	Cat Sweater
28	Old Angels' Cape
29	Angel's Cape
30	Old Pajamas
31	Succubus Pajamas
32	Saint's Tunic
33	Robust Apron
34	Amulet Shirt
35	Breeze Scarf
36	Silk Dress
37	Fine Silk Dress
38	Frost Hood
39	Frost Ace Hood
40	Survival Vest
41	Lady's Dress
42	Zen Outfit
43	Cone Collar
44	Old Ghastly Dress
45	Shikigami Dress
46	Old Cheongsam
47	Fairy Cheongsam
48	Old Mythical Scarf
49	Mythical Scarf
50	RESERVE
51	RESERVE
52	Cosmic Undies
53	Lightning Blouse
54	Night Shift Haori
55	Rubber Scarf
56	Heavensent Dress
57	Godsent Dress
58	RESERVE
59	RESERVE
60	Athletic Shirt
61	Power Camisole
62	RESERVE
63	Hard Scarf
64	Old Haori
65	Dishonored Haori
66	Old Coat
67	Nekomata Coat
68	Old Fiery Apron
69	Fiery Apron
70	Blood Red Capote
71	Bloodied Capote
72	Mandala Vest
73	Elysian Robe
74	Papal Robes
75	Id Collar
76	RESERVE
77	RESERVE
78	RESERVE
79	RESERVE
80	Army Vest
81	Hard Corset
82	RESERVE
83	Sparkly Collar
84	Old Shroud
85	Royal Holy Shroud
86	Old Robe
87	Arcane Robe
88	Old Snakeskin Scarf
89	Snakeskin Scarf
90	Fairy Knight Armor
91	Fairy Hero Armor
92	Cool Vest
93	Titanium Corset
94	Hope Shirt
95	Morose Collar
96	Tapsuan
97	Fine Tapsuan
98	RESERVE
99	RESERVE
100	Gigas Vest
101	Maillot
102	RESERVE
103	Armada Collar
104	Old Undershirt
105	Lil Devil Undershirt
106	Old Shocking Scarf
107	Shocking Scarf
108	Old Ghillie Vest
109	Ghillie Vest
110	RESERVE
111	RESERVE
112	Austere Haori
113	Yama Dress
114	Rune Vest
115	Brave Scarf
116	Lucky Robe
117	Super Lucky Robe
118	RESERVE
119	RESERVE
120	Fluted Guard
121	Panzer Dress
122	RESERVE
123	Measure Collar
124	Old Vest
125	Leopard Print Vest
126	Old Pure Collar
127	Pure Collar
128	Old Tights
129	Divine Black Tights
130	RESERVE
131	RESERVE
132	Fireman Happi
133	Glaring Cape
