基址	名称	JP_NAME	EN_NAME	角色/性别
main+02271F30	BLANK (Unusable)	BLANK (Unusable)	BLANK (Unusable)	-
main+02271F31	RESERVE	RESERVE	RESERVE	-
main+02271F32	Dark Undershirt	Dark Undershirt	Dark Undershirt	-
main+02271F33	Print T-Shirt	Print T-Shirt	Print T-Shirt	-
main+02271F34	Neckerchief	Neckerchief	Neckerchief	-
main+02271F35	Baseball Jacket	Baseball Jacket	Baseball Jacket	-
main+02271F36	Dress Shirt	Dress Shirt	Dress Shirt	-
main+02271F37	Turtleneck	Turtleneck	Turtleneck	-
main+02271F38	Pink Top	Pink Top	Pink Top	-
main+02271F39	Loose Cutsew	Loose Cutsew	Loose Cutsew	-
main+02271F3A	Formal Shirt	Formal Shirt	Formal Shirt	-
main+02271F3B	Light Undershirt	Light Undershirt	Light Undershirt	-
main+02271F3C	Chaos Undershirt	Chaos Undershirt	Chaos Undershirt	-
main+02271F3D	RESERVE	RESERVE	RESERVE	-
main+02271F3E	Sooty Ghastly Gear	Sooty Ghastly Gear	Sooty Ghastly Gear	-
main+02271F3F	RESERVE	RESERVE	RESERVE	-
main+02271F40	Shoulder Pads	Shoulder Pads	Shoulder Pads	-
main+02271F41	Confident Camisole	Confident Camisole	Confident Camisole	-
main+02271F42	Lynx Camo Vest	Lynx Camo Vest	Lynx Camo Vest	-
main+02271F43	Memorial Collar	Memorial Collar	Memorial Collar	-
main+02271F44	Old Cat Collar	Old Cat Collar	Old Cat Collar	-
main+02271F45	Cat Knight's Collar	Cat Knight's Collar	Cat Knight's Collar	-
main+02271F46	Old Duke's Coat	Old Duke's Coat	Old Duke's Coat	-
main+02271F47	Duke's Coat	Duke's Coat	Duke's Coat	-
main+02271F48	RESERVE	RESERVE	RESERVE	-
main+02271F49	RESERVE	RESERVE	RESERVE	-
main+02271F4A	RESERVE	RESERVE	RESERVE	-
main+02271F4B	Cat Sweater	Cat Sweater	Cat Sweater	-
main+02271F4C	Old Angels' Cape	Old Angels' Cape	Old Angels' Cape	-
main+02271F4D	Angel's Cape	Angel's Cape	Angel's Cape	-
main+02271F4E	Old Pajamas	Old Pajamas	Old Pajamas	-
main+02271F4F	Succubus Pajamas	Succubus Pajamas	Succubus Pajamas	-
main+02271F50	Saint's Tunic	Saint's Tunic	Saint's Tunic	-
main+02271F51	Robust Apron	Robust Apron	Robust Apron	-
main+02271F52	Amulet Shirt	Amulet Shirt	Amulet Shirt	-
main+02271F53	Breeze Scarf	Breeze Scarf	Breeze Scarf	-
main+02271F54	Silk Dress	Silk Dress	Silk Dress	-
