id	element	costtype	cost	area	passive
1	255	0	0.0	2	255
2	255	0	0.0	2	255
3	255	0	0.0	2	255
4	255	0	0.0	2	255
5	255	0	0.0	2	255
6	255	0	0.0	2	255
7	255	0	0.0	2	255
8	255	0	0.0	2	255
9	255	0	0.0	2	255
10	2	2	4.0	2	0
11	2	2	8.0	2	0
12	2	2	12.0	2	0
13	2	2	10.0	2	0
14	2	2	16.0	2	0
15	2	2	22.0	2	0
16	2	2	4.0	2	0
17	2	2	10.0	2	0
18	2	0	0.0	2	0
19	21	0	0.0	2	0
20	3	2	4.0	2	0
21	3	2	8.0	2	0
22	3	2	12.0	2	0
23	3	2	10.0	2	0
24	3	2	16.0	2	0
25	3	2	22.0	2	0
26	3	2	4.0	2	0
27	3	2	10.0	2	0
28	3	0	0.0	2	0
29	10	0	0.0	2	0
30	5	2	3.0	2	0
31	5	2	6.0	2	0
32	5	2	10.0	2	0
33	5	2	8.0	2	0
34	5	2	14.0	2	0
35	5	2	20.0	2	0
36	5	2	0.0	2	0
37	5	0	0.0	2	0
38	8	0	0.0	2	0
39	9	0	0.0	2	0
40	4	2	4.0	2	0
41	4	2	8.0	2	0
42	4	2	12.0	2	0
43	4	2	10.0	2	0
44	4	2	16.0	2	0
45	4	2	22.0	2	0
46	4	2	4.0	2	0
47	4	2	10.0	2	0
48	4	0	0.0	2	0
49	0	1	9.0	2	0
50	8	2	6.0	2	0
51	8	2	12.0	2	0
52	8	2	14.0	2	0
53	8	2	26.0	2	0
54	8	2	4.0	2	0
55	8	2	8.0	2	0
56	8	2	12.0	2	0
57	8	2	10.0	2	0
58	8	2	16.0	2	0
59	8	2	22.0	2	0
60	9	2	6.0	2	0
61	9	2	12.0	2	0
62	9	2	14.0	2	0
63	9	2	26.0	2	0
64	9	2	4.0	2	0
65	9	2	8.0	2	0
66	9	2	12.0	2	0
67	9	2	10.0	2	0
68	9	2	16.0	2	0
69	9	2	22.0	2	0
70	10	2	15.0	2	0
71	10	2	24.0	2	0
72	10	2	38.0	2	0
73	7	2	4.0	2	0
74	7	2	8.0	2	0
75	7	2	12.0	2	0
76	7	2	10.0	2	0
77	7	2	16.0	2	0
78	7	2	22.0	2	0
79	7	0	0.0	2	0
80	11	2	3.0	2	0
81	11	2	8.0	2	0
82	12	2	3.0	2	0
83	12	2	8.0	2	0
84	13	2	3.0	2	0
85	13	2	8.0	2	0
86	14	2	3.0	2	0
87	14	2	8.0	2	0
88	15	2	3.0	2	0
89	15	2	8.0	2	0
90	16	2	3.0	2	0
91	16	2	8.0	2	0
92	17	2	3.0	2	0
93	17	2	8.0	2	0
94	18	2	3.0	2	0
95	18	2	8.0	2	0
96	19	2	3.0	2	0
97	19	2	8.0	2	0
98	10	0	0.0	2	0
99	6	0	0.0	2	0
100	10	0	1.0	2	0
101	10	0	1.0	2	0
102	10	0	1.0	2	0
103	10	2	3.0	2	0
104	10	2	3.0	2	0
105	10	2	3.0	2	0
106	10	2	3.0	2	0
107	10	2	3.0	2	0
108	255	1	20.0	2	0
109	255	0	0.0	2	1
110	10	2	8.0	2	0
111	10	2	5.0	2	0
112	10	2	5.0	2	0
113	10	2	28.0	2	0
114	10	0	0.0	2	0
